Accuracy,Layer,Subject
0.3059995770454407,conv5_4,Sbj 1
0.3359675109386444,conv5_1,Sbj 1
0.3377928137779236,fc6,Sbj 1
0.3170731663703918,conv5_3,Sbj 1
0.3330595791339874,conv5_2,Sbj 1
0.2742450535297394,conv4_4,Sbj 1
0.307741641998291,fc7,Sbj 1
0.3212383091449737,conv4_1,Sbj 1
0.2991857826709747,conv4_2,Sbj 1
0.2692874670028686,conv4_3,Sbj 1
0.4800670444965362,fc8,Sbj 1
0.2373164296150207,conv3_4,Sbj 1
0.2628526389598846,conv3_3,Sbj 1
0.2049452662467956,conv3_2,Sbj 1
0.1819772571325302,conv3_1,Sbj 1
0.18332839012146,conv1_1,Sbj 1
0.1563967764377594,conv1_2,Sbj 1
0.0978652611374855,conv2_2,Sbj 1
0.171333372592926,conv2_1,Sbj 1
0.3209214210510254,conv5_4,Sbj 3
0.3377951681613922,conv5_1,Sbj 3
0.355877161026001,fc6,Sbj 3
0.3288586735725403,conv5_3,Sbj 3
0.3391340970993042,conv5_2,Sbj 3
0.2735146880149841,conv4_4,Sbj 3
0.3353317081928253,fc7,Sbj 3
0.3273845314979553,conv4_1,Sbj 3
0.3058774471282959,conv4_2,Sbj 3
0.2715684175491333,conv4_3,Sbj 3
0.5031256675720215,fc8,Sbj 3
0.2486040592193603,conv3_4,Sbj 3
0.2715333104133606,conv3_3,Sbj 3
0.2133056670427322,conv3_2,Sbj 3
0.1901121735572815,conv3_1,Sbj 3
0.1824081391096115,conv1_1,Sbj 3
0.155700534582138,conv1_2,Sbj 3
0.1051395684480667,conv2_2,Sbj 3
0.1773899495601654,conv2_1,Sbj 3
0.3076941072940826,conv5_4,Sbj 4
0.3482570946216583,conv5_1,Sbj 4
0.3413812518119812,fc6,Sbj 4
0.3250714242458343,conv5_3,Sbj 4
0.3405196070671081,conv5_2,Sbj 4
0.2903995215892792,conv4_4,Sbj 4
0.3127936720848083,fc7,Sbj 4
0.3358458578586578,conv4_1,Sbj 4
0.3155795335769653,conv4_2,Sbj 4
0.2847830653190613,conv4_3,Sbj 4
0.4857936501502991,fc8,Sbj 4
0.250309407711029,conv3_4,Sbj 4
0.2776474952697754,conv3_3,Sbj 4
0.2151239216327667,conv3_2,Sbj 4
0.1886390745639801,conv3_1,Sbj 4
0.1480567455291748,conv1_1,Sbj 4
0.1410358846187591,conv1_2,Sbj 4
0.1040205433964729,conv2_2,Sbj 4
0.1727403849363327,conv2_1,Sbj 4
0.2755455374717712,conv5_4,Sbj 5
0.2824645936489105,conv5_1,Sbj 5
0.3316796720027924,fc6,Sbj 5
0.2725126445293426,conv5_3,Sbj 5
0.2806617915630341,conv5_2,Sbj 5
0.2228723466396332,conv4_4,Sbj 5
0.3027020692825317,fc7,Sbj 5
0.2628401219844818,conv4_1,Sbj 5
0.242920994758606,conv4_2,Sbj 5
0.2116572856903076,conv4_3,Sbj 5
0.4659444093704224,fc8,Sbj 5
0.1908150315284729,conv3_4,Sbj 5
0.2168158143758773,conv3_3,Sbj 5
0.1611101329326629,conv3_2,Sbj 5
0.1404934525489807,conv3_1,Sbj 5
0.1301186084747314,conv1_1,Sbj 5
0.1166162192821502,conv1_2,Sbj 5
0.0737619623541832,conv2_2,Sbj 5
0.1309545636177063,conv2_1,Sbj 5
0.3234904110431671,conv5_4,Sbj 2
0.3532249629497528,conv5_1,Sbj 2
0.3401397168636322,fc6,Sbj 2
0.3361559808254242,conv5_3,Sbj 2
0.3504200875759125,conv5_2,Sbj 2
0.2966122031211853,conv4_4,Sbj 2
0.3055424690246582,fc7,Sbj 2
0.3424312770366669,conv4_1,Sbj 2
0.3215595483779907,conv4_2,Sbj 2
0.2911675572395325,conv4_3,Sbj 2
0.475020557641983,fc8,Sbj 2
0.2555116415023804,conv3_4,Sbj 2
0.2831234037876129,conv3_3,Sbj 2
0.220935970544815,conv3_2,Sbj 2
0.1946688145399093,conv3_1,Sbj 2
0.1675005555152893,conv1_1,Sbj 2
0.1522112339735031,conv1_2,Sbj 2
0.1089248061180114,conv2_2,Sbj 2
0.1806748658418655,conv2_1,Sbj 2
